Wari’: ,Everett & Kern (1997) (primary); Kern (1996) (secondary) 
Oro Win: ,Birchall fieldwork (primary); França (2002) (secondary) 
Wanyam: ,Ribeiro (1998) (primary); Hanke (1975) (secondary)
Urupá: ,Nimuendajú (1925) (primary) 
Jarú: ,Rondon & de Faria (1948) (primary) 
Torá:,Nimuendajú (1925) (primary) 
Cojubim: ,Duran (2000) (primary) 
Moré: ,Angenot de Lima (2002) (primary); Leigue Castedo (1957) (secondary) 
Tapakura:,Créqui-Montfort & Rivet (1913) (primary) 
Kitemoka:,Créqui-Montfort & Rivet (1913) (primary) 
