ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family,Sources
cojubim,Cojubim,kuyu1236,,,,,Duran2000
jaru,Jarú,yaru1257,,,,,Rondon1948
kitemoka,Kitemoka,kite1237,,,,,CrequiMontfortRivet1913
more,Moré,itor1239,,ite,,,Angenot2002;Leigue1957
orowin,Oro Win,orow1243,,orw,,,Birchall2016;deFranca2002
tapakura,Tapakura,chap1269,,,,,CrequiMontfortRivet1913
tora,Torá,tora1263,,trz,,,Nimuendaju1925;Nimuendaju1923
urupa,Urupá,urup1245,,,,,Nimuendaju1925
wanyam,Wanyam,wany1246,,,,,Ribeiro1998;Hanke1975
wari,Wari',wari1268,,pav,,,EverettKern1997;Kern1996
