ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
cojubim-1_i-1,,cojubim,1_i,waza,waza,w a z a,,Duran2000,1_i-A,,^ w a z a $,default
kitemoka-1_i-1,,kitemoka,1_i,waja,waja,w a j a,,CrequiMontfortRivet1913,1_i-A,,^ w a j a $,default
more-1_i-1,,more,1_i,waʒ̟a,waʒ̟a,w a ʒ̟ a,,Angenot2002;Leigue1957,1_i-A,,^ w a ʒ̟ a $,default
orowin-1_i-1,,orowin,1_i,wataʔ,wataʔ,w a t a ʔ,,Birchall2016;deFranca2002,1_i-A,,^ w a t a ʔ $,default
tapakura-1_i-1,,tapakura,1_i,waja,waja,w a j a,,CrequiMontfortRivet1913,1_i-A,,^ w a j a $,default
tora-1_i-1,,tora,1_i,waza,waza,w a z a,,Nimuendaju1925;Nimuendaju1923,1_i-A,,^ w a z a $,default
urupa-1_i-1,,urupa,1_i,wata,wata,w a t a,,Nimuendaju1925,1_i-A,,^ w a t a $,default
wanyam-1_i-1,,wanyam,1_i,wataʔ,wataʔ,w a t a ʔ,,Ribeiro1998;Hanke1975,1_i-A,,^ w a t a ʔ $,default
wari-1_i-1,,wari,1_i,wataʔ,wataʔ,w a t a ʔ,,EverettKern1997;Kern1996,1_i-A,,^ w a t a ʔ $,default
cojubim-2_yousg-1,,cojubim,2_yousg,um,um,u m,,Duran2000,2_yousg-A,,^ u m $,default
kitemoka-2_yousg-1,,kitemoka,2_yousg,ahum,ahum,a h u m,,CrequiMontfortRivet1913,2_yousg-A,,^ a h u m $,default
more-2_yousg-1,,more,2_yousg,momra,momra,m o m r a,,Angenot2002;Leigue1957,2_yousg-A,,^ m o m r a $,default
orowin-2_yousg-1,,orowin,2_yousg,wym,wym,w y m,,Birchall2016;deFranca2002,2_yousg-A,,^ w y m $,default
tapakura-2_yousg-1,,tapakura,2_yousg,awimo,awimo,a w i m o,,CrequiMontfortRivet1913,2_yousg-A,,^ a w i m o $,default
tora-2_yousg-1,,tora,2_yousg,webm,webm,w e b m,,Nimuendaju1925;Nimuendaju1923,2_yousg-A,,^ w e b m $,default
urupa-2_yousg-1,,urupa,2_yousg,vim,vim,v i m,,Nimuendaju1925,2_yousg-A,,^ v i m $,default
wanyam-2_yousg-1,,wanyam,2_yousg,im,im,i m,,Ribeiro1998;Hanke1975,2_yousg-A,,^ i m $,default
wari-2_yousg-1,,wari,2_yousg,wum,wum,w u m,,EverettKern1997;Kern1996,2_yousg-A,,^ w u m $,default
kitemoka-3_he-1,,kitemoka,3_he,ariko,ariko,a r i k o,,CrequiMontfortRivet1913,3_he-A,,^ a r i k o $,default
more-3_he-1,,more,3_he,korari,korari,k o r a r i,,Angenot2002;Leigue1957,3_he-A,,^ k o r a r i $,default
orowin-3_he-1,,orowin,3_he,woriko,woriko,w o r i k o,,Birchall2016;deFranca2002,3_he-A,,^ w o r i k o $,default
tapakura-3_he-1,,tapakura,3_he,arikahu,arikahu,a r i k a h u,,CrequiMontfortRivet1913,3_he-A,,^ a r i k a h u $,default
tora-3_he-1,,tora,3_he,wariko,wariko,w a r i k o,,Nimuendaju1925;Nimuendaju1923,3_he-A,,^ w a r i k o $,default
urupa-3_he-1,,urupa,3_he,okain,okain,o k a i n,,Nimuendaju1925,3_he-A,,^ o k a i n $,default
wanyam-3_he-1,,wanyam,3_he,arukwan,arukwan,a r u k w a n,,Ribeiro1998;Hanke1975,3_he-A,,^ a r u kw a n $,default
wari-3_he-1,,wari,3_he,wiriko,wiriko,w i r i k o,,EverettKern1997;Kern1996,3_he-A,,^ w i r i k o $,default
kitemoka-4_we-1,,kitemoka,4_we,watʃe,watʃe,w a tʃ e,,CrequiMontfortRivet1913,4_we-A,,^ w a tʃ e $,default
more-4_we-1,,more,4_we,watiʔ,watiʔ,w a t i ʔ,,Angenot2002;Leigue1957,4_we-A,,^ w a t i ʔ $,default
orowin-4_we-1,,orowin,4_we,wariʔ,wariʔ,w a r i ʔ,,Birchall2016;deFranca2002,4_we-A,,^ w a r i ʔ $,default
tapakura-4_we-1,,tapakura,4_we,wajahu,wajahu,w a j a h u,,CrequiMontfortRivet1913,4_we-A,,^ w a j a h u $,default
tora-4_we-1,,tora,4_we,wazati,wazati,w a z a t i,,Nimuendaju1925;Nimuendaju1923,4_we-A,,^ w a z a t i $,default
